question,two_category,option_a,option_b,option_c,option_d,correct_text,explanation
"What is a primary key in a database?","Data Modeling & DBMS Fundamentals","A unique identifier for each record","A foreign key reference","An index on a table","A constraint on data types","A unique identifier for each record","A primary key uniquely identifies each record in a table and cannot contain null values."
"What is the purpose of a foreign key?","Data Modeling & DBMS Fundamentals","To create indexes","To establish relationships between tables","To store metadata","To optimize queries","To establish relationships between tables","A foreign key creates a relationship between two tables by referencing the primary key of another table."
"What is normalization in database design?","Normalization & Dependencies","Adding more columns to tables","The process of organizing data to reduce redundancy","Creating backup copies","Optimizing query performance","The process of organizing data to reduce redundancy","Normalization is the process of organizing data in a database to eliminate redundancy and dependency issues."
"What is First Normal Form (1NF)?","Normalization & Dependencies","Tables with composite keys","Tables where each cell contains only atomic values","Tables with no foreign keys","Tables with only one column","Tables where each cell contains only atomic values","1NF requires that each cell in a table contains only atomic (indivisible) values."
"What is Second Normal Form (2NF)?","Normalization & Dependencies","Tables with no duplicate rows","Tables that are in 1NF and have no partial dependencies","Tables with only one primary key","Tables with no foreign keys","Tables that are in 1NF and have no partial dependencies","2NF requires that the table is in 1NF and all non-key attributes are fully functionally dependent on the primary key."
"What is Third Normal Form (3NF)?","Normalization & Dependencies","Tables with no null values","Tables that are in 2NF and have no transitive dependencies","Tables with only one column","Tables with composite keys only","Tables that are in 2NF and have no transitive dependencies","3NF requires that the table is in 2NF and there are no transitive dependencies between non-key attributes."
"What is a functional dependency?","Normalization & Dependencies","A relationship between two attributes","A constraint on data types","An index on a table","A foreign key relationship","A relationship between two attributes","A functional dependency exists when one attribute determines another attribute's value."
"What is a candidate key?","Data Modeling & DBMS Fundamentals","A key that can be used as a primary key","A foreign key reference","An index on a table","A constraint on data types","A key that can be used as a primary key","A candidate key is a minimal set of attributes that can uniquely identify a record and could be chosen as the primary key."
"What is a superkey?","Data Modeling & DBMS Fundamentals","A key that contains a candidate key","A foreign key reference","An index on a table","A constraint on data types","A key that contains a candidate key","A superkey is a set of attributes that can uniquely identify a record, and it may contain more attributes than necessary."
"What is a composite key?","Data Modeling & DBMS Fundamentals","A primary key made of multiple attributes","A foreign key reference","An index on multiple columns","A constraint on multiple data types","A primary key made of multiple attributes","A composite key is a primary key that consists of two or more attributes to uniquely identify a record."
"What is Boyce-Codd Normal Form (BCNF)?","Normalization & Dependencies","A form stricter than 3NF","A form that allows partial dependencies","A form with only one primary key","A form with no foreign keys","A form stricter than 3NF","BCNF is stricter than 3NF and requires that every determinant is a candidate key."
"What is a determinant in database design?","Normalization & Dependencies","An attribute that determines another attribute","A constraint on data types","An index on a table","A foreign key relationship","An attribute that determines another attribute","A determinant is an attribute or set of attributes that functionally determines another attribute."
